data_type,AdaBoostClassifier,BaggingClassifier,BernoulliNB,DecisionTreeClassifier,GradientBoostingClassifier,KNeighborsClassifier,LinearSVC,MLPClassifier,MultinomialNB,NearestCentroid,PassiveAggressiveClassifier,Perceptron,RandomForestClassifier,RidgeClassifier,SGDClassifier
binary_all,0.7727777851351746,0.8048687041268311,0.7961962007261372,0.7744237452826783,0.7647095255518536,0.8192403653949191,0.8563765607242588,0.8574238508733484,0.8382618613548829,0.8248466651269022,0.845026252215641,0.8391308781099579,0.7941960783647855,0.8615792592420821,0.8616919765208088
binary_summary,0.8077690322734955,0.8017296970806449,0.8407962231140248,0.803597402290917,0.8416834741865367,0.8117160237293618,0.8653922830708818,0.8544793608799358,0.8502377924642267,0.8619807247218393,0.8670895202012235,0.8387096774193549,0.8208227427959954,0.8689185613443415,0.8619250840681986
binary_title,0.7230189772562654,0.7932677248420703,0.8320446353626624,0.7771506956692142,0.7476706816869753,0.7848595213319459,0.8400951360674561,0.8044527981044063,0.8286273370144337,0.8243727598566308,0.818885126786015,0.8113481942368866,0.7970808736273755,0.8453561469402814,0.8183303933388683
